scenario_family,seed,stress_case,od_id,policy,mean_truth_exposure,planner_calls,route_change_count,missed_useful_replan,unnecessary_replan,route_oscillation
anisotropic_band,9206,water_recovery,OD01,always,0.45501215486915475,12,4,False,True,True
anisotropic_band,9206,water_recovery,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_recovery,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,water_recovery,OD02,always,0.4000455338311341,12,3,False,True,False
anisotropic_band,9206,water_recovery,OD02,triggered,0.39966150855616217,2,1,False,False,False
anisotropic_band,9206,rain_stale_water_fresh,OD01,never,0.4648314376406458,1,0,False,False,False
anisotropic_band,9206,rain_stale_water_fresh,OD01,always,0.4533053065923791,12,4,False,True,False
anisotropic_band,9206,rain_stale_water_fresh,OD01,triggered,0.4648314376406458,1,0,True,False,False
anisotropic_band,9206,rain_stale_water_fresh,OD02,never,0.4016025859317076,1,0,False,False,False
anisotropic_band,9206,rain_stale_water_fresh,OD02,always,0.42049976947134177,12,3,False,True,False
anisotropic_band,9206,rain_stale_water_fresh,OD02,triggered,0.4016025859317076,1,0,False,False,False
anisotropic_band,9206,water_stale_rain_fresh,OD01,never,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_stale_rain_fresh,OD01,always,0.44735394729372885,12,2,False,False,False
anisotropic_band,9206,water_stale_rain_fresh,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,water_stale_rain_fresh,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,water_stale_rain_fresh,OD02,always,0.3975545303287247,12,3,False,True,False
anisotropic_band,9206,water_stale_rain_fresh,OD02,triggered,0.39966150855616217,3,1,False,False,False
anisotropic_band,9206,sources_disagreement,OD01,never,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,sources_disagreement,OD01,always,0.4562792846828047,12,2,False,True,False
anisotropic_band,9206,sources_disagreement,OD01,triggered,0.44724408242696234,1,0,False,False,False
anisotropic_band,9206,sources_disagreement,OD02,never,0.4244256944261626,1,0,False,False,False
anisotropic_band,9206,sources_disagreement,OD02,always,0.3973886980129826,12,4,False,True,True
anisotropic_band,9206,sources_disagreement,OD02,triggered,0.39966150855616217,2,1,False,False,False
moving_center,9212,rain_down_water_high,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,rain_down_water_high,OD01,always,0.36230148372142706,12,4,False,True,False
moving_center,9212,rain_down_water_high,OD01,triggered,0.398301989325796,2,1,True,False,False
moving_center,9212,rain_down_water_high,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,rain_down_water_high,OD02,always,0.3589000418147472,12,2,False,True,False
moving_center,9212,rain_down_water_high,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_gradually_stale,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,water_gradually_stale,OD01,always,0.36230148372142706,12,4,False,True,False
moving_center,9212,water_gradually_stale,OD01,triggered,0.3766491400773322,3,2,True,False,False
moving_center,9212,water_gradually_stale,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_gradually_stale,OD02,always,0.3589000418147472,12,2,False,True,False
moving_center,9212,water_gradually_stale,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_block_outage,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,water_block_outage,OD01,always,0.36087902026215946,12,4,False,True,False
moving_center,9212,water_block_outage,OD01,triggered,0.3766491400773322,3,2,True,False,False
moving_center,9212,water_block_outage,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_block_outage,OD02,always,0.3589000418147472,12,2,False,True,False
moving_center,9212,water_block_outage,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_recovery,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,water_recovery,OD01,always,0.36087902026215946,12,4,False,True,False
moving_center,9212,water_recovery,OD01,triggered,0.398301989325796,2,1,True,False,False
moving_center,9212,water_recovery,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_recovery,OD02,always,0.3611843300172795,12,2,False,True,True
moving_center,9212,water_recovery,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,rain_stale_water_fresh,OD01,never,0.4060493120705552,1,0,False,False,False
moving_center,9212,rain_stale_water_fresh,OD01,always,0.39327744925546,12,6,False,True,False
moving_center,9212,rain_stale_water_fresh,OD01,triggered,0.3952029686889699,2,1,False,False,False
moving_center,9212,rain_stale_water_fresh,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,rain_stale_water_fresh,OD02,always,0.35983613472951353,12,5,False,True,True
moving_center,9212,rain_stale_water_fresh,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_stale_rain_fresh,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,water_stale_rain_fresh,OD01,always,0.36087902026215946,12,4,False,True,False
moving_center,9212,water_stale_rain_fresh,OD01,triggered,0.3766491400773322,3,2,True,False,False
moving_center,9212,water_stale_rain_fresh,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,water_stale_rain_fresh,OD02,always,0.3589000418147472,12,2,False,True,False
moving_center,9212,water_stale_rain_fresh,OD02,triggered,0.36363982855757776,1,0,False,False,False
moving_center,9212,sources_disagreement,OD01,never,0.38104808821532,1,0,False,False,False
moving_center,9212,sources_disagreement,OD01,always,0.36087902026215946,12,4,False,True,False
moving_center,9212,sources_disagreement,OD01,triggered,0.398301989325796,2,1,True,False,False
moving_center,9212,sources_disagreement,OD02,never,0.36363982855757776,1,0,False,False,False
moving_center,9212,sources_disagreement,OD02,always,0.3636541816570335,12,2,False,True,True
moving_center,9212,sources_disagreement,OD02,triggered,0.36363982855757776,1,0,False,False,False
dual_center,9212,rain_down_water_high,OD01,never,0.4916766000129326,1,0,False,False,False
dual_center,9212,rain_down_water_high,OD01,always,0.4922889704551801,12,1,False,True,False
dual_center,9212,rain_down_water_high,OD01,triggered,0.4916766000129326,2,0,False,False,False
dual_center,9212,rain_down_water_high,OD02,never,0.5123254979423234,1,0,False,False,False
dual_center,9212,rain_down_water_high,OD02,always,0.512453821837225,12,1,False,True,False
dual_center,9212,rain_down_water_high,OD02,triggered,0.5123254979423234,2,0,False,False,False
dual_center,9212,water_gradually_stale,OD01,never,0.4916766000129326,1,0,False,False,False
dual_center,9212,water_gradually_stale,OD01,always,0.4922889704551801,12,1,False,True,False
dual_center,9212,water_gradually_stale,OD01,triggered,0.4916766000129326,2,0,False,False,False
dual_center,9212,water_gradually_stale,OD02,never,0.5123254979423234,1,0,False,False,False
dual_center,9212,water_gradually_stale,OD02,always,0.512453821837225,12,1,False,True,False
dual_center,9212,water_gradually_stale,OD02,triggered,0.5123254979423234,2,0,False,False,False
dual_center,9212,water_block_outage,OD01,never,0.4916766000129326,1,0,False,False,False
dual_center,9212,water_block_outage,OD01,always,0.4922889704551801,12,1,False,True,False
dual_center,9212,water_block_outage,OD01,triggered,0.4916766000129326,2,0,False,False,False
dual_center,9212,water_block_outage,OD02,never,0.5123254979423234,1,0,False,False,False
dual_center,9212,water_block_outage,OD02,always,0.512453821837225,12,1,False,True,False
dual_center,9212,water_block_outage,OD02,triggered,0.5123254979423234,2,0,False,False,False
dual_center,9212,water_recovery,OD01,never,0.4916766000129326,1,0,False,False,False
