u,v,length,shortest_cost,risk_cost,trusted_cost
499542965,5192661986,522.0331114200549,522.0331114200549,2541.2608983466334,3132.198668520329
499542965,5271707993,270.77887392779246,270.77887392779246,1288.3518280710955,1624.6732435667548
499542965,4848304353,20.638308389818736,20.638308389818736,104.9217478487575,123.82985033891242
499543059,13017481543,510.85623884807,510.85623884807,2399.8980481120166,3065.13743308842
499543059,499543065,142.60990538098838,142.60990538098838,670.5402266933119,855.6594322859303
499543059,7961786798,15.159400658331894,15.159400658331894,69.50482888309209,90.95640394999137
499543065,7961467090,114.6141228454755,114.6141228454755,542.879033420532,687.6847370728531
499543065,5192662017,101.72131443369302,101.72131443369302,491.33415326351457,564.2723606389166
499543123,499543137,46.664686930731094,46.664686930731094,214.50033624169285,226.3057866722221
499543123,5834799167,392.3519158830582,392.3519158830582,1779.2040860869965,2136.588030994651
499543123,2525990691,66.92379554743852,66.92379554743852,302.8440396540173,319.7747339953493
499543137,499543146,97.37111353307766,97.37111353307766,421.46332551770826,446.096724556397
499543137,2530035744,52.169143952708076,52.169143952708076,217.3109522112041,230.50894588575827
499543146,499543176,37.64342771062644,37.64342771062644,157.7703834926265,167.29359363507692
499543146,2530035744,75.69476909034992,75.69476909034992,298.1515165562414,317.3011327461658
499543165,7965680795,36.223207986971715,36.223207986971715,168.6868928359008,199.78065381228026
499543165,5271707996,54.11422664906823,54.11422664906823,251.76664586037646,298.21793834261416
499543165,5834799167,70.35115014731942,70.35115014731942,315.4345292522645,422.1069008839165
499543176,7958753235,7.816792900324115,7.816792900324115,33.46040234399785,35.43793111746783
499543176,2488193951,88.4357423943556,88.4357423943556,331.9362817787433,354.3091688972911
